benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,10455728327,524875727,1699619013810
akka-uct,9415083970,11190695901,1699619013810
akka-uct,8988205742,20716707833,1699619013810
akka-uct,8944166139,29917876826,1699619013810
akka-uct,9205443299,39006475285,1699619013810
akka-uct,8965806554,48344280581,1699619013810
akka-uct,9161002317,57464163373,1699619013810
akka-uct,8999533331,66834627448,1699619013810
akka-uct,9247889044,76061188962,1699619013810
akka-uct,9122078825,85530185301,1699619013810
akka-uct,9467492619,94816387341,1699619013810
akka-uct,9362947802,104491824124,1699619013810
akka-uct,9052080839,113998616268,1699619013810
akka-uct,9469017396,123186294067,1699619013810
akka-uct,9015455269,132828957595,1699619013810
akka-uct,9421788821,141982568062,1699619013810
akka-uct,9149417834,151558023129,1699619013810
akka-uct,9063413814,160845440879,1699619013810
akka-uct,8914267617,170055084522,1699619013810
akka-uct,8757354916,179117507044,1699619013810
akka-uct,9288823044,188019338787,1699619013810
akka-uct,8965620833,197455005202,1699619013810
akka-uct,9007637974,206521569609,1699619013810
akka-uct,8808416169,215717994700,1699619013810
