benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2016928026,3853698423,1699612526082
chi-square,597750053,5946781390,1699612526082
chi-square,596690121,6601178571,1699612526082
chi-square,650929211,7252705324,1699612526082
chi-square,585765581,7963000428,1699612526082
chi-square,583709520,8600014618,1699612526082
chi-square,570346600,9232611960,1699612526082
chi-square,569098625,9848182649,1699612526082
chi-square,574612566,10464409030,1699612526082
chi-square,560093493,11085510810,1699612526082
chi-square,562133794,11692642748,1699612526082
chi-square,582736207,12301807167,1699612526082
chi-square,563585532,12934271983,1699612526082
chi-square,616043336,13552403071,1699612526082
chi-square,564789776,14223865140,1699612526082
chi-square,564439128,14837879555,1699612526082
chi-square,561145432,15452570553,1699612526082
chi-square,550193521,16058930333,1699612526082
chi-square,562126891,16655523216,1699612526082
chi-square,555096359,17265228143,1699612526082
chi-square,566615370,17866847917,1699612526082
chi-square,602644284,18479475541,1699612526082
chi-square,560062298,19138127850,1699612526082
chi-square,551789742,19747710772,1699612526082
chi-square,565995517,20346118790,1699612526082
chi-square,567492287,20958515808,1699612526082
chi-square,556032376,21572682502,1699612526082
chi-square,570880944,22175269822,1699612526082
chi-square,558314460,22795025478,1699612526082
chi-square,569691669,23404097628,1699612526082
chi-square,563214669,24020066306,1699612526082
chi-square,558735428,24632361730,1699612526082
chi-square,566064315,25241610693,1699612526082
chi-square,555234937,25858678842,1699612526082
chi-square,581360651,26465537496,1699612526082
chi-square,554184826,27095260928,1699612526082
chi-square,548911949,27696550170,1699612526082
chi-square,554041122,28293389511,1699612526082
chi-square,555037471,28895217243,1699612526082
chi-square,551618033,29496938051,1699612526082
chi-square,554017260,30103594309,1699612526082
chi-square,576044412,30710197765,1699612526082
chi-square,562125722,31335936425,1699612526082
chi-square,553252924,31951732015,1699612526082
chi-square,557407847,32555472312,1699612526082
chi-square,560542050,33164160379,1699612526082
chi-square,550116600,33775109180,1699612526082
chi-square,545041678,34375983489,1699612526082
chi-square,549234812,34970844807,1699612526082
chi-square,544557748,35571836808,1699612526082
chi-square,550211641,36168583133,1699612526082
chi-square,567747503,36768656454,1699612526082
chi-square,555740081,37387240637,1699612526082
chi-square,577047558,37994158175,1699612526082
chi-square,555353823,38623161566,1699612526082
chi-square,583308044,39231130774,1699612526082
chi-square,545737449,39867429941,1699612526082
chi-square,585929796,40465675613,1699612526082
chi-square,558819531,41104272725,1699612526082
chi-square,553622147,41712587629,1699612526082
