benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,4637423351,6325833281,1699619969018
db-shootout,5358199768,11013061522,1699619969018
db-shootout,4545545356,16420750114,1699619969018
db-shootout,4454994830,21014615472,1699619969018
db-shootout,4489981247,25518801770,1699619969018
db-shootout,4325097804,30059308080,1699619969018
db-shootout,4499924941,34426652363,1699619969018
db-shootout,4660049035,38973315427,1699619969018
db-shootout,4505328891,43679551704,1699619969018
db-shootout,4283299119,48229687702,1699619969018
db-shootout,4589812437,52557048164,1699619969018
db-shootout,4425952011,57195451509,1699619969018
db-shootout,4444055713,61668098063,1699619969018
db-shootout,4734587034,66159055582,1699619969018
db-shootout,4475621122,70942616701,1699619969018
db-shootout,4509134842,75467305680,1699619969018
