benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,4250172595,4136065082,1699612644798
dec-tree,1082576105,8440962008,1699612644798
dec-tree,786036752,9571217901,1699612644798
dec-tree,767830471,10408243818,1699612644798
dec-tree,721475979,11227334400,1699612644798
dec-tree,703584555,11998671422,1699612644798
dec-tree,697725536,12753516718,1699612644798
dec-tree,690225093,13504507585,1699612644798
dec-tree,674667657,14248336076,1699612644798
dec-tree,688961126,14978838556,1699612644798
dec-tree,663990159,15724161136,1699612644798
dec-tree,663010438,16444138111,1699612644798
dec-tree,654515155,17164727918,1699612644798
dec-tree,659669649,17877919014,1699612644798
dec-tree,654421633,18595043289,1699612644798
dec-tree,651555794,19309559561,1699612644798
dec-tree,642793385,20020809226,1699612644798
dec-tree,644773845,20724124509,1699612644798
dec-tree,653505341,21429084096,1699612644798
dec-tree,644310854,22142987213,1699612644798
dec-tree,640305802,22848456088,1699612644798
dec-tree,627379280,23549714477,1699612644798
dec-tree,638125147,24237033063,1699612644798
dec-tree,628778857,24937309471,1699612644798
dec-tree,637038724,25627915512,1699612644798
dec-tree,634789468,26328052216,1699612644798
dec-tree,631377058,27026693210,1699612644798
dec-tree,629472839,27721666088,1699612644798
dec-tree,632231344,28414862900,1699612644798
dec-tree,624761692,29113325978,1699612644798
dec-tree,623990757,29802633289,1699612644798
dec-tree,634889627,30491128424,1699612644798
dec-tree,621530045,31192041620,1699612644798
dec-tree,613268487,31880159536,1699612644798
dec-tree,629569308,32559597545,1699612644798
dec-tree,628024055,33256038589,1699612644798
dec-tree,628364002,33949443950,1699612644798
dec-tree,618352199,34642888252,1699612644798
dec-tree,611706834,35327616336,1699612644798
dec-tree,632114827,36005887909,1699612644798
