benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,5818692606,1834109080,1699625089584
finagle-chirper,3141652596,7735092052,1699625089584
finagle-chirper,2955927670,10971779663,1699625089584
finagle-chirper,2953742518,13996306142,1699625089584
finagle-chirper,2834423238,17017100669,1699625089584
finagle-chirper,2744521643,19919546225,1699625089584
finagle-chirper,2716593698,22729112788,1699625089584
finagle-chirper,2690401677,25509466690,1699625089584
finagle-chirper,2635806931,28261577932,1699625089584
finagle-chirper,2653024667,30959671418,1699625089584
finagle-chirper,2580938980,33674004711,1699625089584
finagle-chirper,2551590746,36325795734,1699625089584
finagle-chirper,2528498916,38928268563,1699625089584
finagle-chirper,2533364021,41509122750,1699625089584
finagle-chirper,2497654783,44088880046,1699625089584
finagle-chirper,2409357960,46640089924,1699625089584
finagle-chirper,2377906436,49113726268,1699625089584
finagle-chirper,2396895276,51555687134,1699625089584
finagle-chirper,2355071570,54018003926,1699625089584
finagle-chirper,2333648851,56437751318,1699625089584
finagle-chirper,2379455535,58836729894,1699625089584
finagle-chirper,2349179434,61276939194,1699625089584
finagle-chirper,2362756748,63690010075,1699625089584
finagle-chirper,2365096704,66123397961,1699625089584
finagle-chirper,2325510531,68553568785,1699625089584
finagle-chirper,2296844372,70946933420,1699625089584
finagle-chirper,2300229307,73313735347,1699625089584
finagle-chirper,2274462834,75683235336,1699625089584
finagle-chirper,2297488433,78022412903,1699625089584
finagle-chirper,2258142265,80384249342,1699625089584
finagle-chirper,2270407974,82709574378,1699625089584
finagle-chirper,2247982086,85044236636,1699625089584
finagle-chirper,2252817371,87361445643,1699625089584
finagle-chirper,2242321906,89682129838,1699625089584
finagle-chirper,2223109810,91994164074,1699625089584
finagle-chirper,2228271351,94282498487,1699625089584
finagle-chirper,2218890818,96576980000,1699625089584
finagle-chirper,2176772495,98859669783,1699625089584
finagle-chirper,2165899163,101098983459,1699625089584
finagle-chirper,2148305990,103329117625,1699625089584
finagle-chirper,2165330822,105533924477,1699625089584
finagle-chirper,2198490328,107762325730,1699625089584
finagle-chirper,2188125836,110028179973,1699625089584
finagle-chirper,2181014337,112283508590,1699625089584
finagle-chirper,2181062408,114531611006,1699625089584
finagle-chirper,2183781071,116781763552,1699625089584
finagle-chirper,2143815051,119024872890,1699625089584
finagle-chirper,2184406212,121226438968,1699625089584
finagle-chirper,2164042905,123476800027,1699625089584
finagle-chirper,2150150333,125709269427,1699625089584
finagle-chirper,2166692216,127924931669,1699625089584
finagle-chirper,2117979375,130156647774,1699625089584
finagle-chirper,2163899541,132344238747,1699625089584
finagle-chirper,2168990501,134572047785,1699625089584
finagle-chirper,2161264119,136808237087,1699625089584
finagle-chirper,2147826417,139026862025,1699625089584
finagle-chirper,2132378595,141233903438,1699625089584
finagle-chirper,2125786726,143432180969,1699625089584
finagle-chirper,2123844018,145627089244,1699625089584
finagle-chirper,2135776551,147814302679,1699625089584
finagle-chirper,2114472615,150014210451,1699625089584
finagle-chirper,2105808606,152195299426,1699625089584
finagle-chirper,2143246317,154370435334,1699625089584
finagle-chirper,2117290209,156579147468,1699625089584
finagle-chirper,2097904881,158762565218,1699625089584
finagle-chirper,2111914464,160927923295,1699625089584
finagle-chirper,2121723655,163104928249,1699625089584
finagle-chirper,2115521274,165294757443,1699625089584
finagle-chirper,2113781920,167476783665,1699625089584
finagle-chirper,2098449991,169655226986,1699625089584
finagle-chirper,2100232105,171822385658,1699625089584
finagle-chirper,2114706337,173983493441,1699625089584
finagle-chirper,2078847118,176156228620,1699625089584
finagle-chirper,2084369936,178301837860,1699625089584
finagle-chirper,2077263466,180453773614,1699625089584
finagle-chirper,2066988866,182592471189,1699625089584
finagle-chirper,2077655544,184723136487,1699625089584
finagle-chirper,2074353099,186865408241,1699625089584
finagle-chirper,2063152221,188994366325,1699625089584
finagle-chirper,2038533150,191111773364,1699625089584
finagle-chirper,2060336246,193215619138,1699625089584
finagle-chirper,2077998479,195343370269,1699625089584
finagle-chirper,2055140524,197487660551,1699625089584
finagle-chirper,2092483291,199610316252,1699625089584
finagle-chirper,2062123039,201767872813,1699625089584
finagle-chirper,2051402140,203898672642,1699625089584
finagle-chirper,2063923594,206013983098,1699625089584
finagle-chirper,2072625043,208139843391,1699625089584
finagle-chirper,2096356396,210279894589,1699625089584
finagle-chirper,2034121272,212440599151,1699625089584
