benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,5415742530,1275471083,1699625346165
finagle-http,3222726773,6732301894,1699625346165
finagle-http,2658972675,9984570143,1699625346165
finagle-http,2688696325,12669078256,1699625346165
finagle-http,2679370572,15382416642,1699625346165
finagle-http,2677132869,18087638008,1699625346165
finagle-http,2655330453,20790130242,1699625346165
finagle-http,2637555766,23470269839,1699625346165
finagle-http,2641012323,26133016216,1699625346165
finagle-http,2647931488,28798533357,1699625346165
finagle-http,2637978634,31471242198,1699625346165
finagle-http,2642772667,34134531895,1699625346165
