benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2357286633,515662409,1699619482148
fj-kmeans,2164032890,2905011627,1699619482148
fj-kmeans,2159041149,5094987328,1699619482148
fj-kmeans,2160228023,7281333153,1699619482148
fj-kmeans,2152112954,9468355082,1699619482148
fj-kmeans,2143741709,11647405675,1699619482148
fj-kmeans,2156280643,13818125315,1699619482148
fj-kmeans,2156507309,16001019431,1699619482148
fj-kmeans,2139941003,18183016822,1699619482148
fj-kmeans,2148779748,20348765353,1699619482148
fj-kmeans,2171461409,22524856428,1699619482148
fj-kmeans,2153907086,24722636685,1699619482148
fj-kmeans,2156876872,26902273658,1699619482148
fj-kmeans,2158040554,29084548421,1699619482148
fj-kmeans,2143273192,31269098757,1699619482148
fj-kmeans,2165791041,33442320864,1699619482148
fj-kmeans,2141175365,35635414822,1699619482148
fj-kmeans,2146242211,37803237411,1699619482148
fj-kmeans,2148089756,39976870990,1699619482148
fj-kmeans,2149874501,42151792274,1699619482148
fj-kmeans,2142454944,44328961621,1699619482148
fj-kmeans,2153680934,46498587859,1699619482148
fj-kmeans,2152668386,48678889187,1699619482148
fj-kmeans,2146104715,50858693237,1699619482148
fj-kmeans,2142850547,53030602921,1699619482148
fj-kmeans,2153082137,55200522980,1699619482148
fj-kmeans,2145214953,57380349594,1699619482148
fj-kmeans,2160851814,59551875395,1699619482148
fj-kmeans,2163925163,61738271363,1699619482148
fj-kmeans,2144833529,63929233418,1699619482148
