benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,2803175556,3213437712,1699612753787
gauss-mix,816434412,6049676656,1699612753787
gauss-mix,709994452,6899781138,1699612753787
gauss-mix,681871344,7640522701,1699612753787
gauss-mix,676628058,8353024984,1699612753787
gauss-mix,659797228,9064985955,1699612753787
gauss-mix,675114897,9756406161,1699612753787
gauss-mix,662088603,10464125006,1699612753787
gauss-mix,650068410,11160514511,1699612753787
gauss-mix,632357312,11847484506,1699612753787
gauss-mix,637056587,12513436466,1699612753787
gauss-mix,630765559,13184726384,1699612753787
gauss-mix,640808772,13849907747,1699612753787
gauss-mix,645922135,14529270026,1699612753787
gauss-mix,631887430,15210039464,1699612753787
gauss-mix,634395071,15876509602,1699612753787
gauss-mix,633855539,16546243246,1699612753787
gauss-mix,633698105,17216126002,1699612753787
gauss-mix,624728074,17884780233,1699612753787
gauss-mix,639986472,18544427871,1699612753787
gauss-mix,625695662,19219041732,1699612753787
gauss-mix,636768416,19879145708,1699612753787
gauss-mix,626170651,20550696396,1699612753787
gauss-mix,623771962,21210456885,1699612753787
gauss-mix,607874651,21868897307,1699612753787
gauss-mix,626153630,22510960108,1699612753787
gauss-mix,630116449,23171872099,1699612753787
gauss-mix,614174427,23838040786,1699612753787
gauss-mix,625286471,24487596907,1699612753787
gauss-mix,608622715,25148397944,1699612753787
gauss-mix,618881061,25792587196,1699612753787
gauss-mix,633004606,26447428292,1699612753787
gauss-mix,631219539,27116020545,1699612753787
gauss-mix,606867328,27782160558,1699612753787
gauss-mix,634181408,28423505511,1699612753787
gauss-mix,612613752,29093766407,1699612753787
gauss-mix,627433061,29741473057,1699612753787
gauss-mix,611475109,30405379513,1699612753787
gauss-mix,608913957,31052562452,1699612753787
gauss-mix,609347015,31696580526,1699612753787
