benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5655726542,4186919953,1699612847626
log-regression,1149253696,9915888537,1699612847626
log-regression,985290952,11113942003,1699612847626
log-regression,953318668,12159369823,1699612847626
log-regression,928022630,13165997782,1699612847626
log-regression,917380485,14149897454,1699612847626
log-regression,879331200,15120487458,1699612847626
log-regression,849605863,16051597137,1699612847626
log-regression,853194533,16956732835,1699612847626
log-regression,872277296,17867105827,1699612847626
log-regression,863304935,18797782485,1699612847626
log-regression,855315113,19719369551,1699612847626
log-regression,836020366,20632334562,1699612847626
log-regression,832258229,21525387993,1699612847626
log-regression,841009334,22415601286,1699612847626
log-regression,850776850,23318360800,1699612847626
log-regression,830816388,24237698166,1699612847626
log-regression,825650924,25128476138,1699612847626
log-regression,821634813,26015035674,1699612847626
log-regression,841660464,26898667321,1699612847626
