benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,2468237759,361464818,1699620493957
mnemonics,2463912299,3011812573,1699620493957
mnemonics,2587811845,5602218335,1699620493957
mnemonics,2648307241,8318187544,1699620493957
mnemonics,2656202850,11093670681,1699620493957
mnemonics,2631788884,13883765963,1699620493957
mnemonics,2592121000,16643792313,1699620493957
mnemonics,2643713219,19361860436,1699620493957
mnemonics,2619400034,22133101649,1699620493957
mnemonics,2623642645,24878910785,1699620493957
mnemonics,2620096040,27627985574,1699620493957
mnemonics,2635130893,30373534878,1699620493957
mnemonics,2638731372,33134074164,1699620493957
mnemonics,2651831969,35897459996,1699620493957
mnemonics,2642394053,38677152134,1699620493957
mnemonics,2629665416,41445362518,1699620493957
