benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,9476222181,4355671432,1699613078299
movie-lens,7260222750,13879781391,1699613078299
movie-lens,7043694308,21181166344,1699613078299
movie-lens,6651933188,28271877111,1699613078299
movie-lens,6645936241,34968617854,1699613078299
movie-lens,6532157312,41655840610,1699613078299
movie-lens,6415948886,48226717335,1699613078299
movie-lens,6428493603,54680587978,1699613078299
movie-lens,6356068454,61152700862,1699613078299
movie-lens,6264320310,67549688082,1699613078299
movie-lens,6426190190,73849059444,1699613078299
movie-lens,6526042683,80318994810,1699613078299
movie-lens,6606027457,86894130676,1699613078299
movie-lens,6456970698,93540783185,1699613078299
movie-lens,6516760038,100043246603,1699613078299
movie-lens,6309226193,106608818527,1699613078299
movie-lens,6356752980,112952859626,1699613078299
movie-lens,6335628223,119347244168,1699613078299
movie-lens,6454186408,125722196317,1699613078299
movie-lens,6361415242,132225481006,1699613078299
