benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,9823072373,4184246407,1699613408151
naive-bayes,1113170462,14172758909,1699613408151
naive-bayes,962307481,15350559272,1699613408151
naive-bayes,1248697387,16361473556,1699613408151
naive-bayes,926564962,17673323284,1699613408151
naive-bayes,916971641,18646184993,1699613408151
naive-bayes,890666409,19609819609,1699613408151
naive-bayes,1306632951,20546843187,1699613408151
naive-bayes,872897315,21917975046,1699613408151
naive-bayes,892840360,22838678069,1699613408151
naive-bayes,877089807,23779757905,1699613408151
naive-bayes,1380120463,24704711371,1699613408151
naive-bayes,917614429,26149359992,1699613408151
naive-bayes,859370055,27116452061,1699613408151
naive-bayes,854803473,28025919199,1699613408151
naive-bayes,1350938551,28931389096,1699613408151
naive-bayes,887363757,30352466927,1699613408151
naive-bayes,876623044,31291570829,1699613408151
naive-bayes,850355993,32219024180,1699613408151
naive-bayes,1349526740,33123351692,1699613408151
naive-bayes,858218558,34544877438,1699613408151
naive-bayes,860029844,35456957922,1699613408151
naive-bayes,869223624,36369857883,1699613408151
naive-bayes,1362809219,37291694609,1699613408151
naive-bayes,869747754,38726789910,1699613408151
naive-bayes,855112824,39650201276,1699613408151
naive-bayes,834785740,40560928191,1699613408151
naive-bayes,1336678078,41449478616,1699613408151
naive-bayes,854764534,42858355964,1699613408151
naive-bayes,847579882,43769004225,1699613408151
