benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,5834466846,5634278843,1699613708248
page-rank,2500577915,13336466319,1699613708248
page-rank,2490485503,17347078350,1699613708248
page-rank,2454537870,21384172943,1699613708248
page-rank,2541282742,25250649944,1699613708248
page-rank,2555945070,29143440286,1699613708248
page-rank,2606167318,33068427470,1699613708248
page-rank,2498381039,36932923158,1699613708248
page-rank,2536052979,41063609268,1699613708248
page-rank,2615684262,44955541459,1699613708248
page-rank,2579746889,49011897367,1699613708248
page-rank,2468277117,52934320262,1699613708248
page-rank,2611435963,56832010499,1699613708248
page-rank,2541653487,60758378555,1699613708248
page-rank,2552308354,64608836322,1699613708248
page-rank,2613266740,68657657590,1699613708248
page-rank,2574820318,72627219111,1699613708248
page-rank,2623714347,76513940192,1699613708248
page-rank,2509157626,80484698546,1699613708248
page-rank,2461792733,84389604990,1699613708248
