benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,4322571813,506292753,1699620951827
philosophers,3960389219,4848140809,1699620951827
philosophers,4060473363,8819998200,1699620951827
philosophers,3978780413,12894280530,1699620951827
philosophers,3800673228,16893622981,1699620951827
philosophers,3668760367,20712925999,1699620951827
philosophers,3813392173,24407655218,1699620951827
philosophers,4043128954,28243680068,1699620951827
philosophers,3766521865,32296962158,1699620951827
philosophers,3702689939,36089266982,1699620951827
philosophers,3855368921,39807358029,1699620951827
philosophers,3863884985,43675079749,1699620951827
philosophers,3703166487,47549844444,1699620951827
philosophers,3990802767,51264449652,1699620951827
philosophers,3752629601,55275892218,1699620951827
philosophers,3977369736,59041689954,1699620951827
philosophers,4052304333,63028686876,1699620951827
philosophers,3939581574,67101544856,1699620951827
philosophers,3891997323,71056971726,1699620951827
philosophers,3727435631,74960393279,1699620951827
philosophers,4075864996,78698299592,1699620951827
philosophers,4067780568,82784995627,1699620951827
philosophers,3711747755,86879424030,1699620951827
philosophers,4239881913,90613287193,1699620951827
philosophers,3927075496,94864038346,1699620951827
philosophers,3751549262,98811621498,1699620951827
philosophers,3963669982,102588850946,1699620951827
philosophers,4042253809,106570113818,1699620951827
philosophers,4096871305,110623386050,1699620951827
philosophers,3920005875,114748352628,1699620951827
