benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,4146331319,534893490,1699621299151
scala-doku,4092618650,4706094160,1699621299151
scala-doku,4025054545,8825252263,1699621299151
scala-doku,4047393366,12868151162,1699621299151
scala-doku,4082108905,16935785219,1699621299151
scala-doku,4131069900,21043312165,1699621299151
scala-doku,3984896706,25198341838,1699621299151
scala-doku,3945589635,29196144913,1699621299151
scala-doku,3997127250,33153872673,1699621299151
scala-doku,4188600468,37170544441,1699621299151
scala-doku,3987068165,41381404918,1699621299151
scala-doku,4007401176,45381638367,1699621299151
scala-doku,3987519422,49406123453,1699621299151
scala-doku,3952631996,53412317566,1699621299151
scala-doku,4067863091,57377953584,1699621299151
scala-doku,3948936144,61464444355,1699621299151
scala-doku,4104390455,65426331729,1699621299151
scala-doku,3974981245,69550528367,1699621299151
scala-doku,4081653295,73538073315,1699621299151
scala-doku,4057008408,77644693232,1699621299151
