benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-kmeans,229706076,473216820,1699621498599
scala-kmeans,147834865,728847506,1699621498599
scala-kmeans,141080844,910100596,1699621498599
scala-kmeans,137889692,1082419663,1699621498599
scala-kmeans,137261430,1250943547,1699621498599
scala-kmeans,137708899,1419711415,1699621498599
scala-kmeans,136997045,1588985104,1699621498599
scala-kmeans,137365012,1757051619,1699621498599
scala-kmeans,137267261,1925596373,1699621498599
scala-kmeans,138155697,2093687539,1699621498599
scala-kmeans,140245918,2263724752,1699621498599
scala-kmeans,138264520,2435689312,1699621498599
scala-kmeans,138989893,2604716556,1699621498599
scala-kmeans,138893832,2774705218,1699621498599
scala-kmeans,138493944,2945213110,1699621498599
scala-kmeans,138792560,3115504318,1699621498599
scala-kmeans,137740890,3285790656,1699621498599
scala-kmeans,137723969,3455653266,1699621498599
scala-kmeans,140446642,3624594148,1699621498599
scala-kmeans,137336062,3796603099,1699621498599
scala-kmeans,136916434,3964381758,1699621498599
scala-kmeans,138277740,4133224898,1699621498599
scala-kmeans,138315751,4302200801,1699621498599
scala-kmeans,137008085,4472258485,1699621498599
scala-kmeans,137370083,4640472122,1699621498599
scala-kmeans,137094878,4809988525,1699621498599
scala-kmeans,137023175,4977953969,1699621498599
scala-kmeans,137156248,5145884851,1699621498599
scala-kmeans,137218919,5313943356,1699621498599
scala-kmeans,138804660,5482861647,1699621498599
scala-kmeans,137618647,5653124695,1699621498599
scala-kmeans,137696739,5821411714,1699621498599
scala-kmeans,137567156,5989665723,1699621498599
scala-kmeans,138582446,6158378090,1699621498599
scala-kmeans,139223329,6328216519,1699621498599
scala-kmeans,138330481,6498804763,1699621498599
scala-kmeans,139364831,6668985009,1699621498599
scala-kmeans,138163798,6840062382,1699621498599
scala-kmeans,138967853,7009266989,1699621498599
scala-kmeans,137690688,7179283692,1699621498599
scala-kmeans,137727040,7347527210,1699621498599
scala-kmeans,137179688,7516850660,1699621498599
scala-kmeans,138105716,7685486286,1699621498599
scala-kmeans,138051715,7855117191,1699621498599
scala-kmeans,136808822,8024708815,1699621498599
scala-kmeans,136527836,8192602047,1699621498599
scala-kmeans,137013986,8360119781,1699621498599
scala-kmeans,136721050,8527635506,1699621498599
scala-kmeans,137619707,8696072808,1699621498599
scala-kmeans,137867372,8863957639,1699621498599
