benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-stm-bench7,1530080653,403567957,1699625544807
scala-stm-bench7,929198058,1956453044,1699625544807
scala-stm-bench7,859298574,2894857151,1699625544807
scala-stm-bench7,928866630,3766436545,1699625544807
scala-stm-bench7,912868578,4707372071,1699625544807
scala-stm-bench7,865906343,5631386957,1699625544807
scala-stm-bench7,860528188,6506627602,1699625544807
scala-stm-bench7,891683916,7380200824,1699625544807
scala-stm-bench7,881076929,8282913725,1699625544807
scala-stm-bench7,832955280,9171537411,1699625544807
scala-stm-bench7,881733942,10015873993,1699625544807
scala-stm-bench7,962380034,10911672119,1699625544807
scala-stm-bench7,933637593,11886774621,1699625544807
scala-stm-bench7,834299447,12831906788,1699625544807
scala-stm-bench7,898805334,13678048926,1699625544807
scala-stm-bench7,865099616,14591619478,1699625544807
scala-stm-bench7,886010405,15469576945,1699625544807
scala-stm-bench7,889200537,16370032921,1699625544807
scala-stm-bench7,878045509,17272992097,1699625544807
scala-stm-bench7,921164790,18165406006,1699625544807
scala-stm-bench7,908945562,19094904098,1699625544807
scala-stm-bench7,945827701,20011824955,1699625544807
scala-stm-bench7,888471472,20970907155,1699625544807
scala-stm-bench7,940396155,21867904733,1699625544807
scala-stm-bench7,897820855,22817584069,1699625544807
scala-stm-bench7,889811578,23730062140,1699625544807
scala-stm-bench7,882133908,24628834563,1699625544807
scala-stm-bench7,813774186,25519678841,1699625544807
scala-stm-bench7,893619623,26346344588,1699625544807
scala-stm-bench7,916217733,27252408784,1699625544807
scala-stm-bench7,876694153,28177179613,1699625544807
scala-stm-bench7,847607715,29067555103,1699625544807
scala-stm-bench7,934571741,29928920436,1699625544807
scala-stm-bench7,932238806,30873648025,1699625544807
scala-stm-bench7,878550819,31819362113,1699625544807
scala-stm-bench7,863665999,32711825933,1699625544807
scala-stm-bench7,897694881,33587445505,1699625544807
scala-stm-bench7,884851241,34498923185,1699625544807
scala-stm-bench7,914314066,35394322112,1699625544807
scala-stm-bench7,879361185,36322776573,1699625544807
scala-stm-bench7,977752032,37216308614,1699625544807
scala-stm-bench7,896990468,38203740015,1699625544807
scala-stm-bench7,908541203,39109038675,1699625544807
scala-stm-bench7,868139295,40025747287,1699625544807
scala-stm-bench7,897668031,40907516288,1699625544807
scala-stm-bench7,881441615,41819030019,1699625544807
scala-stm-bench7,899137020,42714244602,1699625544807
scala-stm-bench7,849974971,43627705331,1699625544807
scala-stm-bench7,908587684,44492199445,1699625544807
scala-stm-bench7,900980215,45414398874,1699625544807
scala-stm-bench7,906205277,46325425595,1699625544807
scala-stm-bench7,917536768,47241340562,1699625544807
scala-stm-bench7,856739823,48167668161,1699625544807
scala-stm-bench7,854926888,49038122111,1699625544807
scala-stm-bench7,913847756,49906548872,1699625544807
scala-stm-bench7,837935426,50833947332,1699625544807
scala-stm-bench7,908848749,51684713458,1699625544807
scala-stm-bench7,872848197,52607238853,1699625544807
scala-stm-bench7,886366640,53494129364,1699625544807
scala-stm-bench7,922080307,54393438376,1699625544807
