benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scrabble,469884875,801495225,1699620748921
scrabble,250432249,1315615801,1699620748921
scrabble,191722094,1595933242,1699620748921
scrabble,195091558,1815626382,1699620748921
scrabble,179821821,2038668106,1699620748921
scrabble,178293043,2246603815,1699620748921
scrabble,178342204,2454454493,1699620748921
scrabble,183777935,2665182666,1699620748921
scrabble,177369654,2876274455,1699620748921
scrabble,192776865,3088777780,1699620748921
scrabble,178996325,3309364068,1699620748921
scrabble,185325634,3518705254,1699620748921
scrabble,181513603,3734825997,1699620748921
scrabble,180003064,3947765031,1699620748921
scrabble,177886854,4155278213,1699620748921
scrabble,183447899,4364739141,1699620748921
scrabble,178356924,4574628607,1699620748921
scrabble,183550351,4784695437,1699620748921
scrabble,187365603,4997492988,1699620748921
scrabble,183824246,5215655420,1699620748921
scrabble,178787691,5427854680,1699620748921
scrabble,178739491,5634451924,1699620748921
scrabble,188627917,5843815221,1699620748921
scrabble,183042791,6062068515,1699620748921
scrabble,181444081,6275616330,1699620748921
scrabble,180204918,6487818310,1699620748921
scrabble,178424055,6698724355,1699620748921
scrabble,177836864,6906136195,1699620748921
scrabble,178161800,7112697119,1699620748921
scrabble,179021286,7319581979,1699620748921
scrabble,189889720,7529953785,1699620748921
scrabble,184683832,7750977111,1699620748921
scrabble,178476096,7963629769,1699620748921
scrabble,179774711,8172977355,1699620748921
scrabble,178584798,8382030246,1699620748921
scrabble,178176080,8588727793,1699620748921
scrabble,178033008,8798048798,1699620748921
scrabble,181127615,9007390045,1699620748921
scrabble,178421895,9217634438,1699620748921
scrabble,178889204,9423790834,1699620748921
scrabble,181405731,9634327563,1699620748921
scrabble,178963475,9844373412,1699620748921
scrabble,191052783,10055449341,1699620748921
scrabble,178014697,10277251172,1699620748921
scrabble,179769660,10485668961,1699620748921
scrabble,179022926,10693022310,1699620748921
scrabble,189610425,10903050829,1699620748921
scrabble,179652568,11122153159,1699620748921
scrabble,179567947,11331315001,1699620748921
scrabble,178637399,11540553336,1699620748921
